,000033,000034,000035,000036,000037,000038,000039,00003a
Mean,77.18,102.83,81.78,1.06,215.60,11.41,3.29,34.62
Std Dev,3.388071211,5.081485168,4.273451922,0.031266882,25.58857394,0.574542666,0.139418104,3.550226738
