,FG%,2P%,3P%,eFG%,FT%,TS%,PPG,APG,RPG,SPG,BPG,TPG
Year1,0.447,0.5,0.271,0.478,0.721,0.517,5.2,0.7,3.6,0.4,0.5,0.8
Year2,0.473,0.531,0.296,0.509,0.668,0.541,9.2,1.6,6.5,0.8,0.7,0.8
Year3,0.454,0.528,0.288,0.499,0.719,0.53,12.7,1.9,5.1,0.8,0.5,1.1
Year4,0.434,0.497,0.336,0.5,0.698,0.53,17.6,2.3,7.9,1,0.8,1.8
,,,,,,,,,,,,
HEIGHT W/O SHOES (inches),79.5,,,,,,,,,,,
STANDING REACH,105,,,,,,,,,,,
WINGSPAN,83.75,,,,,,,,,,,
WINGSPAN/HEIGHT,1.053459119,,,,,,,,,,,
WEIGHT (LBS),220,,,,,,,,,,,
AGILITY,10.81,,,,,,,,,,,
SPRINT,3.27,,,,,,,,,,,
MAX VERT,39,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
